accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z,flex1,flex2,flex3,flex4,flex5,gesture_label
-1.104743,0.541267,9.173807,-24.682627,-19.401192,20.441986,2.172382,1.563554,10.224548,-33.96241,9.400856,17.752367,0.0,0.0,0.0,0.0,0.0,ccw_circle
-2.737588,0.960252,9.056491,5.882259,-26.54623,8.518321,2.761356,2.861212,10.361017,-25.825008,21.797802,5.034809,0.0,0.0,0.0,0.0,0.0,ccw_circle
-2.802232,0.445498,8.9703,22.233404,-26.454626,1.724427,2.517147,2.990498,10.443617,-16.283022,43.24818,-5.270535,0.0,0.0,0.0,0.0,0.0,ccw_circle
-2.004962,0.785475,8.723698,42.370811,-16.729435,-20.061831,4.742558,5.670808,11.887321,-4.19142,52.622227,-29.652214,0.0,0.0,0.0,0.0,0.0,ccw_circle
-3.204458,-1.309451,7.512231,70.660881,-108.546227,-17.787022,3.892616,4.04275,10.316725,-52.802105,80.927574,-98.99572,0.0,0.0,0.0,0.0,0.0,ccw_circle
-4.068764,-1.436344,9.935163,54.263939,-148.17981,-15.619084,2.48722,4.710732,13.39088,-83.260124,73.477188,-132.934647,0.0,0.0,0.0,0.0,0.0,ccw_circle
-5.603448,-1.510564,11.833765,48.202869,-186.301956,-38.046566,1.674388,5.248231,13.866129,-84.695236,91.38559,-159.438477,0.0,0.0,0.0,0.0,0.0,ccw_circle
-3.245159,-2.149816,14.328524,37.241039,-192.790497,-52.748856,-0.603695,4.201964,17.384407,-106.664703,142.286362,-157.606415,0.0,0.0,0.0,0.0,0.0,ccw_circle
-8.371144,-1.977434,15.262262,36.996765,-244.301956,-44.27557,0.532354,4.569474,15.290678,-147.763947,148.942841,-168.690384,0.0,0.0,0.0,0.0,0.0,ccw_circle
-7.016026,-2.982998,15.046783,20.569281,-192.469894,-19.344275,-1.394978,5.91741,19.198015,-149.137985,196.194748,-104.583511,0.0,0.0,0.0,0.0,0.0,ccw_circle
-9.575428,-2.6933,16.385143,-39.751328,-189.981339,-24.641983,-1.238158,5.478074,15.885637,-118.160881,84.622231,-114.904121,0.0,0.0,90.0,0.0,0.0,ccw_circle
-9.132501,-2.097144,17.021999,-35.079571,-155.156921,6.274046,-1.378219,7.7382,16.387222,-122.92424,60.28635,-67.743813,0.0,0.0,0.0,0.0,0.0,ccw_circle
-9.31446,-2.815404,17.795328,-17.858198,-114.485161,5.419084,-3.049372,6.614123,19.707981,-78.237221,-25.026625,-70.99572,0.0,0.0,0.0,0.0,0.0,ccw_circle
-9.807666,-1.35973,18.386696,-31.476521,-77.996613,13.052671,-2.606444,6.548283,20.208368,-59.366989,-35.438843,-43.911758,0.0,0.0,0.0,0.0,0.0,ccw_circle
-9.482055,-2.348535,19.523941,-19.720795,-52.240883,0.380916,-3.7808,7.100146,23.84157,-17.916611,-16.064795,-52.400307,0.0,0.0,90.0,0.0,0.0,ccw_circle
-9.972866,-1.951097,19.624496,0.767755,-28.286688,-24.092365,-4.483499,6.537508,25.522299,30.648275,-3.072427,-59.117863,0.0,0.0,0.0,0.0,0.0,ccw_circle
-9.537121,-2.705271,19.622103,-17.384916,-25.645466,-62.519848,-4.909666,6.566239,25.023108,86.327667,46.545891,-98.781982,0.0,0.0,0.0,0.0,0.0,ccw_circle
-9.407834,-2.631051,19.93335,-28.056673,-40.988976,-58.916794,-5.747637,4.193584,22.199146,66.022324,76.011543,-77.636948,0.0,0.0,0.0,0.0,0.0,ccw_circle
-8.720698,-3.09792,19.301281,-33.476521,-17.706535,-61.329006,-6.248025,1.072743,21.984867,62.67881,211.81308,12.134047,0.0,0.0,0.0,0.0,0.0,ccw_circle
-8.72788,-2.070807,19.09059,-57.369648,12.415603,-21.832823,-4.288371,0.316175,13.885283,-28.481497,105.782532,82.790535,0.0,0.0,0.0,0.0,0.0,ccw_circle
-7.731893,-2.398813,18.820045,-24.49942,32.033924,25.49542,-2.871004,4.391107,19.73312,-162.283035,68.179482,208.088242,0.0,0.0,0.0,0.0,0.0,ccw_circle
-8.229887,-2.889625,17.92222,-5.400184,59.667511,54.945801,-1.608062,5.266188,15.880849,-77.092178,-3.744183,122.546265,0.0,0.0,0.0,0.0,0.0,ccw_circle
-7.39431,-3.109891,16.830463,14.294472,84.323997,128.930542,-1.040637,6.512369,19.272236,-112.939507,-100.812889,121.584427,0.0,0.0,0.0,0.0,0.0,ccw_circle
-9.795695,-1.486622,18.092209,-21.461252,27.102625,94.625191,1.397858,9.738556,20.803328,-92.649437,-116.431206,0.54626,0.0,0.0,0.0,0.0,0.0,ccw_circle
-10.272141,-2.336564,18.061083,94.355537,64.598808,88.304581,-0.006341,8.905374,23.58539,-85.046379,-197.69838,-17.438473,0.0,0.0,0.0,0.0,0.0,ccw_circle
-9.92977,-2.252767,16.636534,85.17997,49.72858,22.884733,0.448557,10.795596,27.127611,0.633008,-159.713638,-83.789619,90.0,0.0,0.0,0.0,0.0,ccw_circle
-10.138065,-2.092355,16.306133,21.317373,-22.027145,-34.260303,0.326453,7.802844,29.922842,88.495605,-100.080063,-194.323975,0.0,0.0,90.0,0.0,0.0,ccw_circle
-11.272918,-0.454721,17.96771,-17.888733,-64.072945,-92.596184,-2.43047,4.213936,27.876997,109.167358,32.866501,-193.438477,0.0,0.0,0.0,0.0,0.0,ccw_circle
-9.347979,-2.971027,18.391483,5.454778,-76.13401,-117.848091,-3.337873,6.040711,22.004021,89.289497,71.171844,-186.03389,0.0,0.0,90.0,0.0,0.0,ccw_circle
-9.168414,-3.540847,19.021158,-7.674993,-77.8134,-94.122902,-6.090008,2.52722,21.546728,50.862019,117.721466,-124.278168,0.0,0.0,0.0,0.0,0.0,ccw_circle
-8.328049,-3.401984,18.62372,-27.583391,-42.698898,-61.725952,-6.025364,1.686856,17.420321,50.297131,177.629868,-39.66748,0.0,0.0,90.0,0.0,0.0,ccw_circle
-7.868362,-2.954268,19.253397,-42.071938,-23.73707,-13.374809,-5.751228,-0.483488,16.143015,-46.725769,179.339798,67.24855,0.0,0.0,0.0,0.0,0.0,ccw_circle
-8.328049,-3.485781,17.680405,-25.720795,-8.973711,23.999237,-3.226543,1.581511,13.811062,-210.603638,152.729111,203.385956,0.0,0.0,0.0,0.0,0.0,ccw_circle
-8.213127,-3.385224,18.094603,-21.629192,42.033924,57.449619,-1.998317,9.974385,16.836136,-136.741043,36.897038,175.676025,0.0,0.0,0.0,0.0,0.0,ccw_circle
-7.45656,-3.301427,16.878347,-36.514687,54.293468,87.281677,-0.978387,7.001984,19.73312,-114.28302,-72.2938,111.721832,0.0,0.0,0.0,0.0,0.0,ccw_circle
-9.168414,-2.063625,18.080236,-32.575756,5.896519,109.983971,0.441374,7.483218,20.22872,-131.519669,-96.064796,31.905039,0.0,0.0,90.0,0.0,0.0,ccw_circle
-9.218692,-2.080384,18.056295,42.325008,18.522472,102.869469,0.619742,9.551808,21.717913,-129.290665,-194.400665,-32.675117,0.0,0.0,0.0,0.0,0.0,ccw_circle
-11.378263,-2.010952,17.996441,63.882259,32.140793,22.457253,1.092597,7.3671,25.133242,-71.199051,-219.148758,-122.690376,0.0,0.0,0.0,0.0,0.0,ccw_circle
-9.484448,-2.219248,17.021999,60.263939,40.049191,-20.840458,1.025559,13.706945,27.353863,80.587204,-136.064789,-171.301071,0.0,0.0,0.0,0.0,0.0,ccw_circle
-9.039127,-3.243966,17.553513,-3.064306,-24.225618,-77.680153,-1.815161,5.341605,34.974609,131.487961,45.293983,-185.66748,0.0,0.0,0.0,0.0,0.0,ccw_circle
-10.988008,-2.147422,19.09059,-24.438353,-57.50806,-91.710686,-2.751294,6.379491,21.920223,146.556671,104.759636,-177.927017,0.0,0.0,0.0,0.0,0.0,ccw_circle
-9.077435,-3.531271,17.689983,13.683784,-42.683632,-87.680153,-5.396886,2.420678,24.247387,97.029953,124.637497,-130.323975,0.0,0.0,90.0,0.0,0.0,ccw_circle
-9.503602,-3.39959,17.764202,-41.720795,-49.798138,-59.649616,-5.475895,1.344485,17.426306,45.915451,192.66803,-47.942291,0.0,0.0,90.0,0.0,0.0,ccw_circle
-8.366356,-3.385224,18.549501,-31.30858,-4.286687,-15.451146,-6.133103,0.166538,19.794172,6.541405,188.286362,45.202747,0.0,0.0,0.0,0.0,0.0,ccw_circle
-8.490855,-3.404378,17.60379,-40.682625,1.881252,19.281681,-2.772841,1.80058,13.819441,-148.664703,221.431396,179.233292,0.0,0.0,90.0,0.0,0.0,ccw_circle
-9.312066,-3.492963,17.63731,-40.789494,24.369801,73.342751,-1.788825,4.599402,23.664398,-255.657074,30.668032,236.97374,0.0,0.0,0.0,0.0,0.0,ccw_circle
-7.389522,-1.910396,16.820887,-65.201714,26.049191,83.70916,0.289342,9.848689,20.870365,-135.977692,-33.774719,119.630234,0.0,0.0,90.0,0.0,0.0,ccw_circle
-9.505997,-1.251991,17.733078,-31.018505,-17.508062,86.732063,0.082244,6.474062,19.986904,-129.366989,-48.248001,30.668398,0.0,0.0,0.0,0.0,0.0,ccw_circle
-11.541068,-1.826599,17.148893,49.546383,40.873619,89.525955,0.539536,7.654404,19.134569,-117.855537,-163.667847,3.874504,0.0,0.0,0.0,0.0,0.0,ccw_circle
