accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z,flex1,flex2,flex3,flex4,flex5,gesture_label
2.502764,-0.156792,10.107169,2.932308,4.298687,1.520794,-0.584123,-1.50785,7.584201,0.069496,-6.884336,5.661588,0.0,0.0,0.0,0.0,0.0,curl_wave
2.682329,0.144877,10.145476,3.481926,5.458992,1.994076,-0.615248,-4.607144,8.801653,12.267969,2.901924,15.875328,0.0,0.0,0.0,0.0,0.0,curl_wave
2.761338,-0.08736,9.915632,5.726202,5.413191,3.719267,-0.640387,-2.783959,7.871505,-26.419052,44.306503,68.516548,0.0,0.0,0.0,0.0,0.0,curl_wave
2.708666,-0.128062,10.102381,6.932309,6.405557,4.146748,0.058721,0.62299,5.783762,-6.403786,12.260703,38.440212,0.0,0.0,0.0,0.0,0.0,curl_wave
2.828376,-0.156792,10.085621,7.054446,7.352122,3.230718,-0.010712,-2.552919,7.869111,-4.877069,0.947725,54.806625,0.0,0.0,0.0,0.0,0.0,curl_wave
2.888231,-0.37227,9.994641,7.329255,8.146015,1.016977,0.026399,0.170485,8.265351,3.031328,-2.808,51.676857,0.0,0.0,0.0,0.0,0.0,curl_wave
2.799645,-0.281291,9.961123,6.581163,8.344489,-1.059359,0.119772,-0.68185,9.001569,-0.144244,6.672916,31.463116,0.0,0.0,0.0,0.0,0.0,curl_wave
2.751761,-0.331569,10.308282,5.100247,8.268153,-3.761649,-0.216613,-1.039783,8.855522,7.916824,10.337039,24.989832,0.0,0.0,0.0,0.0,0.0,curl_wave
2.974422,-0.192705,10.088016,5.466659,10.130748,-6.357069,-0.23457,-1.898105,7.81165,8.924458,13.817955,25.035633,0.0,0.0,0.0,0.0,0.0,curl_wave
2.90499,-0.384241,9.850989,5.970477,12.695634,-7.303634,0.010837,-2.041757,7.170004,10.848123,4.337038,27.875328,0.0,0.0,0.0,0.0,0.0,curl_wave
3.125257,-0.063418,9.748038,8.626965,15.611665,-7.883787,0.988868,-1.6934,7.263378,1.703084,7.161466,36.501282,0.0,0.0,0.0,0.0,0.0,curl_wave
3.1899,-0.17834,9.76001,11.634598,19.397924,-8.601343,1.31807,-0.417291,6.339216,7.077129,-2.563725,25.936398,0.0,0.0,0.0,0.0,0.0,curl_wave
2.833164,-0.53747,10.047314,16.993376,25.947542,-9.929587,1.090621,-1.182238,6.394283,18.527512,-28.762197,9.203573,0.0,0.0,0.0,0.0,0.0,curl_wave
3.302428,-0.401001,9.688184,21.08498,34.771969,-10.18913,0.113787,-2.161467,7.228662,22.909191,-51.617161,3.783726,0.0,0.0,0.0,0.0,0.0,curl_wave
3.074978,-0.300444,9.62354,23.497192,41.458992,-13.181496,-0.087326,-4.27435,9.135644,37.33667,-39.571362,33.234108,0.0,0.0,0.0,0.0,0.0,curl_wave
3.434109,-0.314809,9.240468,24.7033,41.810139,-15.731114,0.507633,-3.121542,8.927348,17.977894,-8.441587,62.119602,0.0,0.0,0.0,0.0,0.0,curl_wave
3.201871,-0.175946,9.159065,25.268187,36.72617,-18.158596,0.656074,-2.092035,7.785314,16.145832,-4.869069,63.37151,0.0,0.0,0.0,0.0,0.0,curl_wave
3.244967,-0.199888,9.494253,27.420858,30.970444,-19.135695,2.360745,-1.892119,7.126909,20.573315,-3.586626,63.127235,0.0,0.0,0.0,0.0,0.0,curl_wave
3.101315,-0.563806,9.489465,32.123146,28.054413,-18.906687,2.062667,-0.522636,6.335625,17.443542,-14.777465,47.890594,0.0,0.0,0.0,0.0,0.0,curl_wave
3.386225,-0.683516,9.470311,35.710934,29.000978,-16.662413,1.043934,-0.414896,6.5523,49.229801,-61.7393,12.363878,0.0,0.0,0.0,0.0,0.0,curl_wave
3.175535,-1.066589,9.511012,37.7262,32.008614,-17.089893,1.78494,-2.90726,8.713067,46.802319,-47.601894,8.394413,0.0,0.0,0.0,0.0,0.0,curl_wave
3.956045,-1.092925,9.499042,39.848339,35.749069,-16.983023,-3.00107,-2.997043,9.820385,47.779419,-20.044641,9.70739,0.0,0.0,0.0,0.0,0.0,curl_wave
3.944074,-1.052223,9.755221,40.168949,34.588764,-19.227299,4.242588,-3.829028,8.183949,36.222168,21.207268,31.722656,0.0,0.0,0.0,0.0,0.0,curl_wave
3.874642,-0.824774,9.975488,40.596432,29.657467,-21.670046,0.073086,-1.509047,7.013184,18.909191,45.726349,34.134872,0.0,0.0,0.0,0.0,0.0,curl_wave
3.908161,-1.006734,9.6403,42.520096,24.573498,-22.08226,3.884654,-2.155481,6.122541,47.046593,22.932459,8.226474,0.0,0.0,0.0,0.0,0.0,curl_wave
3.941679,-1.238971,9.673819,42.581161,18.069681,-25.21203,0.302929,-2.669038,8.333586,52.130566,10.657649,8.073802,0.0,0.0,0.0,0.0,0.0,curl_wave
3.64001,-1.284461,10.1359,41.848339,15.382657,-28.78455,0.014427,-3.431591,10.318379,58.115295,31.802687,0.577618,0.0,0.0,0.0,0.0,0.0,curl_wave
3.747749,-1.174328,10.272368,43.268185,15.367389,-31.91432,0.288564,-5.416384,10.538646,62.069496,75.375206,22.852428,0.0,0.0,90.0,0.0,0.0,curl_wave
3.948862,-1.420931,10.521365,44.42849,15.321588,-34.112793,1.474891,-6.982192,10.560194,69.596214,115.466805,60.882961,0.0,0.0,90.0,0.0,0.0,curl_wave
4.094908,-1.095319,10.755998,47.313988,9.626931,-37.074623,2.336803,-3.509402,7.202326,24.145832,159.772156,101.844788,0.0,0.0,90.0,0.0,0.0,curl_wave
3.515512,-1.07856,10.942745,49.512459,4.833038,-40.051723,2.69354,3.122536,3.571519,52.298504,87.665283,30.211206,0.0,0.0,90.0,0.0,0.0,curl_wave
3.362283,-1.507122,10.904438,52.10788,9.016244,-41.792183,1.79691,-2.533765,8.200708,-10.190046,18.123299,-71.636124,0.0,90.0,90.0,0.0,0.0,curl_wave
