accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z,flex1,flex2,flex3,flex4,flex5,gesture_label
-0.295948,0.908489,10.187865,-19.914017,-5.794075,-2.809833,0.879357,-0.396432,10.542253,0.78354,17.771116,17.35536,0.0,0.0,0.0,0.0,0.0,cw_circle
-0.341438,0.930037,10.221384,-22.967451,-8.694839,-4.428153,0.606418,-0.772322,11.300018,1.440029,14.213862,11.935512,0.0,0.0,0.0,0.0,0.0,cw_circle
-0.681414,1.138333,10.056185,-24.081955,-10.343695,-5.802199,0.730917,-0.908792,11.235374,-3.079055,20.122261,6.882076,0.0,0.0,0.0,0.0,0.0,cw_circle
-0.772394,1.25086,9.881408,-23.79188,-8.267358,-6.12281,0.818305,-1.260739,10.878638,-0.071421,15.404702,7.660702,0.0,0.0,0.0,0.0,0.0,cw_circle
-0.67902,1.308321,9.783246,-22.936918,-5.534534,-5.680062,0.940409,-1.160183,11.115664,3.592701,10.091725,10.714138,0.0,0.0,0.0,0.0,0.0,cw_circle
-0.647895,1.413666,9.668324,-21.852947,-4.084152,-4.886168,1.128354,-1.057232,11.027079,1.653769,11.771114,10.561466,0.0,0.0,0.0,0.0,0.0,cw_circle
-0.726904,1.595625,9.594104,-21.074322,-3.839877,-4.275482,1.674232,-0.55445,10.529085,-0.117223,7.984855,5.843908,0.0,0.0,0.0,0.0,0.0,cw_circle
-0.722116,1.679422,9.637199,-20.738445,-3.33606,-3.466321,1.623953,-0.939916,10.740973,-0.254627,-1.144916,-0.354565,0.0,0.0,0.0,0.0,0.0,cw_circle
-0.628742,1.744066,9.699449,-19.700277,-2.954381,-3.756398,1.119975,-1.525298,11.577745,2.371327,-4.641099,1.874443,0.0,0.0,0.0,0.0,0.0,cw_circle
-0.458753,1.703364,9.716208,-17.79188,-3.458198,-4.901436,0.924847,-1.587548,12.188267,3.027815,3.542107,6.882076,0.0,0.0,0.0,0.0,0.0,cw_circle
-0.441994,1.744066,9.867043,-16.738445,-5.000183,-6.535024,0.947592,-1.422348,12.103272,3.256823,14.351267,9.523298,0.0,0.0,0.0,0.0,0.0,cw_circle
-0.726904,1.906871,9.838312,-16.860582,-6.374228,-8.641893,1.244473,-1.114693,11.508314,4.233922,18.213863,8.362993,0.0,0.0,0.0,0.0,0.0,cw_circle
-0.767605,2.043341,9.582132,-17.852949,-6.160488,-9.313649,1.307919,-1.459458,11.300018,5.333158,15.313099,6.622534,0.0,0.0,0.0,0.0,0.0,cw_circle
-0.726904,2.213329,9.507913,-19.318598,-3.962015,-9.802198,1.214546,-1.696484,11.470006,7.730105,11.343634,7.370626,0.0,0.0,0.0,0.0,0.0,cw_circle
-0.353409,2.258819,9.325953,-20.066689,-1.458198,-10.199145,1.427629,-1.820982,11.455641,8.249189,10.916153,8.561466,0.0,0.0,0.0,0.0,0.0,cw_circle
-0.051739,2.136715,9.321165,-19.700277,-1.351328,-10.76403,1.623953,-1.803026,11.395786,11.302624,11.725313,12.179787,0.0,0.0,0.0,0.0,0.0,cw_circle
-0.011038,2.100802,9.29004,-18.173559,-4.389495,-10.947237,1.878936,-1.503751,11.060598,8.386594,20.01539,12.515665,0.0,0.0,0.0,0.0,0.0,cw_circle
-0.046951,2.2253,9.223002,-16.28043,-8.755908,-10.321282,4.232437,-1.234403,7.396272,27.211021,-19.694534,26.347725,0.0,0.0,0.0,0.0,0.0,cw_circle
-0.39411,2.546123,9.105686,-14.616308,-11.916213,-9.802198,1.937594,-1.339748,10.251358,53.821709,-32.427357,37.385891,0.0,0.0,0.0,0.0,0.0,cw_circle
-0.784365,2.658651,9.12484,-10.738445,-12.252091,-7.695329,1.710145,-1.905977,10.7709,40.722473,-24.320488,26.118717,0.0,0.0,0.0,0.0,0.0,cw_circle
