accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z,flex1,flex2,flex3,flex4,flex5,gesture_label
0.59086,-1.153167,9.581011,14.415205,9.41044,-0.806654,0.990001,-2.471811,11.690184,28.332359,194.650894,125.249924,0.0,0.0,0.0,0.0,0.0,grip_hand
0.614802,-1.016697,10.217868,14.277802,12.738686,-3.47841,4.703408,-1.674541,11.259227,6.759839,333.460052,171.448395,0.0,0.0,0.0,0.0,0.0,grip_hand
1.876547,-1.699045,9.863526,27.086962,17.639448,-8.01276,11.931503,-3.319358,14.008967,61.843811,500.620361,283.143036,0.0,0.0,0.0,0.0,0.0,grip_hand
1.036182,-3.537791,7.019215,45.025894,-5.642995,-37.631081,-4.654329,-2.079162,15.206068,145.507935,500.620361,373.112518,0.0,90.0,90.0,90.0,0.0,grip_hand
-1.777005,2.591364,12.415745,92.140396,30.02113,-35.341007,0.887051,-7.479283,26.768866,149.248383,500.620361,137.646866,0.0,90.0,0.0,0.0,90.0,grip_hand
0.42566,0.055905,12.89698,-44.25655,-100.055214,-17.127266,-5.892131,-4.898334,24.678726,137.691132,222.345551,104.257561,0.0,90.0,90.0,90.0,90.0,grip_hand
0.219759,-0.025498,10.026332,-27.264183,-39.108643,-33.966961,-8.542513,-5.616594,28.169474,45.324726,101.627998,84.975113,90.0,90.0,0.0,90.0,90.0,grip_hand
-0.101064,-2.587294,8.960913,-2.928306,-57.642994,-2.867723,-7.615956,-5.435832,25.197071,43.920143,46.43716,43.34153,90.0,90.0,90.0,90.0,90.0,grip_hand
1.680222,-1.933677,10.114918,-12.439756,0.769219,-0.165433,-8.432379,-5.54836,26.731754,0.576633,12.635633,0.02855,90.0,90.0,0.0,90.0,90.0,grip_hand
0.705782,-1.806784,9.396657,-13.66113,-1.490323,7.804033,-8.690953,-5.42865,26.703026,2.836175,20.360825,-7.681374,90.0,90.0,0.0,90.0,90.0,grip_hand
0.736907,-1.416529,9.123718,-2.500825,-1.383453,8.658995,-9.279926,-4.90432,27.53022,-2.598939,-0.26513,-8.597404,90.0,90.0,0.0,90.0,90.0,grip_hand
0.052165,-1.845091,9.667202,0.262534,1.761585,7.895636,-8.500614,-4.427874,26.391779,-3.148557,4.43716,-8.689007,90.0,90.0,0.0,90.0,90.0,grip_hand
0.339469,-1.612854,10.062245,2.170931,0.49441,4.094109,-8.443153,-4.245914,26.658733,-9.51497,1.169985,-2.811145,90.0,90.0,0.0,90.0,90.0,grip_hand
0.27722,-2.31196,9.581011,4.44574,7.79212,2.033041,-8.191762,-4.645746,26.024269,-17.118023,-0.066657,-3.070687,90.0,90.0,0.0,90.0,90.0,grip_hand
0.557341,-1.397375,9.719874,9.178565,12.860823,6.597926,-8.615536,-4.746302,26.955612,-14.446267,-17.272762,-15.101221,90.0,90.0,0.0,90.0,90.0,grip_hand
0.717753,-1.861851,9.798882,8.094595,11.776854,3.956705,-8.15944,-4.947415,26.105671,-15.148558,-10.036122,-11.101221,90.0,0.0,0.0,90.0,90.0,grip_hand
0.411295,-1.110071,9.86592,17.926657,20.021128,10.521589,-7.827844,-5.466957,27.141163,-27.988253,-66.127724,-43.834045,90.0,90.0,90.0,90.0,90.0,grip_hand
0.89253,-2.410123,10.016755,18.781618,47.608913,1.559758,-7.078458,-5.653705,25.456842,-68.766876,-99.654442,-49.284428,90.0,90.0,0.0,90.0,90.0,grip_hand
0.890135,-1.14359,10.356731,10.735817,41.150898,13.284948,-3.622428,-6.94418,24.573383,-130.263062,-302.448364,-115.345497,0.0,90.0,90.0,90.0,90.0,grip_hand
1.974709,-2.639966,10.014361,16.415205,60.860821,6.200979,0.582987,-3.750314,17.498516,-52.75161,-499.914001,-302.90274,0.0,90.0,0.0,90.0,0.0,grip_hand
1.996257,-3.152325,11.03908,-8.561893,-30.467422,21.910902,5.281608,-3.065573,11.105998,-49.484436,-499.914001,-327.696655,0.0,0.0,90.0,0.0,0.0,grip_hand
-0.582299,-1.682286,11.252163,-51.508457,18.540213,19.636093,20.385429,-4.1693,18.684843,-157.469177,-499.914001,-360.276794,0.0,0.0,0.0,0.0,0.0,grip_hand
3.60516,1.418206,11.39821,-79.783264,6.555479,37.636093,1.453279,-1.14662,8.871011,-13.301229,-325.104828,-88.750076,0.0,0.0,0.0,0.0,0.0,grip_hand
-0.17289,-0.796431,9.463695,-20.073343,-27.307116,3.254415,-2.457649,0.678959,9.358231,-17.606573,-146.93689,-73.269157,0.0,0.0,0.0,0.0,0.0,grip_hand
1.354611,0.017598,9.43257,-22.989374,2.830288,4.506323,-3.910929,-0.44871,8.450829,10.988848,-82.814751,-34.154655,0.0,0.0,0.0,0.0,0.0,grip_hand
1.890912,-0.533069,8.886692,9.987725,-12.681162,7.92617,-4.667497,0.4144,7.721794,-12.91955,-15.654442,-5.208091,0.0,0.0,0.0,0.0,0.0,grip_hand
1.49108,-0.442089,9.645654,2.277802,-10.574292,0.872735,-5.169082,-0.59356,7.263305,-7.789779,6.635633,-5.437099,0.0,0.0,0.0,0.0,0.0,grip_hand
1.58206,-0.583347,9.834796,4.964824,-6.452155,4.613193,-5.219361,-1.157394,7.790029,-6.11039,2.467695,0.24229,0.0,0.0,0.0,0.0,0.0,grip_hand
1.41686,-0.413359,10.186744,-3.187848,-8.024674,3.101743,-5.18225,-0.276328,7.766087,-9.362298,16.940977,6.868245,0.0,0.0,0.0,0.0,0.0,grip_hand
1.37137,-0.636019,9.765364,-0.36342,0.677616,1.407086,-4.982335,-0.021345,8.054588,1.660603,11.673801,2.532367,0.0,0.0,90.0,0.0,0.0,grip_hand
1.117585,-0.26013,10.387856,-8.226015,-4.131544,2.094109,-4.977546,-0.181757,7.033461,-3.056954,17.475328,5.860611,0.0,0.0,0.0,0.0,0.0,grip_hand
1.378553,-0.645596,9.621712,-4.073344,-1.246048,0.918537,-4.873398,-0.294284,8.296402,0.5919,15.444794,3.891145,0.0,0.0,90.0,0.0,0.0,grip_hand
