accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z,flex1,flex2,flex3,flex4,flex5,gesture_label
0.426284,-0.875679,9.876176,-0.070534,2.521496,1.552671,0.097904,-0.053878,9.018573,1.614443,-2.289771,6.13945,0.0,0.0,0.0,0.0,0.0,mouse_down
0.457409,-0.890045,9.87857,0.631756,2.307755,2.010686,0.016501,-0.508776,9.310665,1.080091,-3.05313,2.887542,0.0,0.0,0.0,0.0,0.0,mouse_down
0.529235,-0.868497,9.80435,1.288244,2.216152,2.010686,-0.054128,-0.702707,9.546494,2.499939,-1.404275,5.696702,0.0,0.0,0.0,0.0,0.0,mouse_down
0.584302,-0.875679,9.718159,1.242443,1.788671,1.522136,-0.213342,-1.054654,9.784718,4.606809,1.878168,6.94861,0.0,0.0,0.0,0.0,0.0,mouse_down
0.68007,-0.803853,9.703794,0.219542,1.010046,0.392366,-0.304322,-1.546663,10.30785,10.530473,7.175878,17.467693,0.0,0.0,0.0,0.0,0.0,mouse_down
0.632186,-0.815824,9.677457,-1.215573,0.597832,-0.890077,-0.011032,-0.781715,9.777534,6.591541,20.763664,21.467693,0.0,0.0,0.0,0.0,0.0,mouse_down
0.435861,-0.724845,9.885753,-2.696489,-0.058657,-1.68397,0.350492,-0.359139,8.721691,7.782381,17.694962,21.864639,0.0,0.0,0.0,0.0,0.0,mouse_down
0.380795,-0.729633,9.828292,-2.894962,0.032946,-1.210688,0.621037,0.19871,8.479877,6.92742,8.94687,14.444794,0.0,0.0,0.0,0.0,0.0,mouse_down
0.390371,-0.799065,9.895329,-1.795725,0.292488,0.270228,0.403164,-0.476455,8.707327,2.622076,5.175878,9.33029,0.0,0.0,0.0,0.0,0.0,mouse_down
0.462197,-0.861314,9.81632,-0.101069,0.857374,1.949617,0.327747,-0.46209,8.926395,1.446503,1.679695,9.192885,0.0,0.0,0.0,0.0,0.0,mouse_down
0.534024,-0.772729,9.854628,1.822596,1.345923,2.74351,0.261907,-1.009165,9.485442,1.828183,1.038473,9.879909,0.0,0.0,0.0,0.0,0.0,mouse_down
0.675281,-0.779911,9.888146,3.303512,1.101649,2.545037,0.509706,-0.287313,9.405236,-0.614565,5.801832,10.704335,0.0,0.0,0.0,0.0,0.0,mouse_down
0.629791,-0.885256,9.794773,4.158473,-0.944153,1.735877,0.421121,-0.545887,9.217291,-1.393191,5.298016,6.780671,0.0,0.0,0.0,0.0,0.0,mouse_down
0.557966,-0.971447,9.78759,4.143206,-3.570107,1.567938,0.197263,-0.666794,9.365732,-2.095481,5.389618,5.513496,0.0,0.0,0.0,0.0,0.0,mouse_down
0.435861,-0.925958,9.794773,4.127939,-4.822016,1.781678,-0.102012,-1.39104,9.734439,-2.675634,8.809465,10.215786,0.0,0.0,0.0,0.0,0.0,mouse_down
0.419102,-0.93314,9.708582,3.334046,-4.944153,2.163358,-0.087647,-1.351535,9.632685,-2.782504,12.229313,14.750136,0.0,0.0,0.0,0.0,0.0,mouse_down
0.48614,-0.88765,9.821109,1.837862,-5.478504,2.377098,0.030866,-1.361112,9.766761,-1.011512,13.618626,21.452427,0.0,0.0,0.0,0.0,0.0,mouse_down
0.280238,-1.088763,9.871387,0.998168,-6.486137,2.758778,0.336127,-0.818825,9.553677,-3.683267,17.893435,22.948612,0.0,0.0,0.0,0.0,0.0,mouse_down
0.457409,-0.849343,9.823503,1.196641,-7.600641,3.308396,0.418727,-1.071414,9.536917,-3.225252,18.091908,24.872276,0.0,0.0,0.0,0.0,0.0,mouse_down
0.246719,-0.832584,9.789985,1.593588,-8.073924,3.82748,0.524072,-0.925368,9.52734,-5.393191,20.412519,24.872276,0.0,0.0,0.0,0.0,0.0,mouse_down
0.342487,-0.827795,9.883358,1.624122,-7.249496,4.941984,0.384011,-1.504764,9.667401,-3.194718,17.633892,26.811207,0.0,0.0,0.0,0.0,0.0,mouse_down
