accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z,flex1,flex2,flex3,flex4,flex5,gesture_label
0.749691,-1.577592,10.522549,1.519297,-0.882748,0.439359,-0.430324,0.536916,10.512129,-4.940366,4.878718,6.223664,0.0,0.0,0.0,0.0,90.0,mouse_left
1.312328,-0.48823,9.998219,1.381892,-31.035419,2.286687,1.073235,3.421929,10.154196,-21.703724,14.466504,-10.005343,0.0,0.0,90.0,90.0,90.0,mouse_left
-0.88076,-1.83856,10.070045,13.626167,-20.058321,-14.125526,-0.189707,0.098777,9.66937,-2.940366,20.145893,-27.806871,0.0,0.0,0.0,90.0,90.0,mouse_left
0.476752,-1.855319,10.587192,7.12235,-8.302595,-3.041557,-0.714037,0.727255,10.45826,-10.039602,10.893985,0.559542,0.0,0.0,0.0,90.0,90.0,mouse_left
0.562943,-1.776311,10.223273,2.801739,4.26229,-3.911786,-0.301037,0.474667,10.2763,-0.085404,-0.266321,-0.005344,0.0,0.0,90.0,0.0,90.0,mouse_left
0.69223,-1.228039,10.462693,1.107083,-12.33313,-0.873618,0.340609,1.538889,10.014135,-11.795328,5.016122,-1.867939,0.0,0.0,0.0,0.0,90.0,mouse_left
0.522242,-1.24001,10.357348,3.580365,-24.959084,-8.140794,0.5094,2.004561,10.175743,-14.085404,10.878717,-19.165649,0.0,0.0,90.0,90.0,90.0,mouse_left
-0.066732,-1.94151,9.533743,8.511663,-32.424732,-18.843084,0.042531,1.317426,10.014135,-20.070137,17.474138,-32.524429,0.0,0.0,0.0,0.0,90.0,mouse_left
-0.540784,-1.465065,9.732462,9.213953,-34.409462,-21.453772,0.603971,2.943089,9.93752,-19.39838,15.855817,-33.379391,0.0,0.0,90.0,0.0,90.0,mouse_left
-1.050749,-2.389226,8.91125,19.839907,-21.035419,-47.850716,0.266388,2.285881,10.062019,0.143603,12.237496,-60.753437,0.0,0.0,0.0,0.0,90.0,mouse_left
0.546184,-1.307047,9.950335,28.114716,-49.966717,-55.331631,1.202521,5.042804,10.703665,-13.932733,25.168795,-84.539696,0.0,0.0,90.0,0.0,90.0,mouse_left
-1.445792,-2.55682,9.69176,54.496399,-57.127022,-109.560646,0.726075,3.715219,12.185676,-3.230443,45.092457,-126.40229,0.0,0.0,0.0,0.0,90.0,mouse_left
-0.966952,-1.35972,10.888861,79.076546,-62.058319,-150.629333,2.302657,4.511291,10.94907,15.639787,64.344368,-165.867935,0.0,0.0,0.0,0.0,90.0,mouse_left
-2.374742,-3.710825,9.921604,112.389526,-90.485802,-182.003387,1.796283,1.070823,11.78345,8.158871,108.481773,-190.264893,0.0,0.0,0.0,0.0,90.0,mouse_left
-2.341223,-3.528866,10.534519,67.213951,-61.096485,-115.224762,-0.606298,-1.068396,6.524586,11.181771,59.13826,-134.264893,0.0,0.0,90.0,0.0,90.0,mouse_left
-2.077861,-3.193678,11.614304,70.191048,-75.69191,-84.629349,-0.368075,-0.946292,11.290245,-23.917465,23.596275,-118.493896,0.0,0.0,0.0,0.0,90.0,mouse_left
-0.418679,-2.489783,12.196095,10.435328,-25.814045,-63.45377,-0.858886,-0.319011,10.873653,5.899328,15.45887,-74.982445,0.0,0.0,0.0,0.0,90.0,mouse_left
-0.892731,-2.607099,10.752392,14.297922,-26.65374,-47.667511,-0.680518,-0.526109,11.041247,-16.207542,-5.808305,-53.959541,0.0,0.0,0.0,0.0,90.0,mouse_left
-0.543178,-1.982212,10.948716,-5.152459,-12.852213,-36.629341,-0.322585,0.678174,9.553251,10.021465,30.176428,-22.967176,0.0,0.0,0.0,0.0,90.0,mouse_left
-0.1625,-3.076362,9.895267,-2.908184,-7.401832,-23.575909,-0.696081,0.399249,10.273906,9.120703,23.45887,-11.364121,0.0,0.0,0.0,0.0,90.0,mouse_left
-1.153699,-2.080374,10.477058,-7.030321,-2.256793,-11.438504,0.356171,2.13744,7.5098,3.120703,21.122992,4.238931,0.0,0.0,90.0,0.0,90.0,mouse_left
-0.64134,-3.411551,10.010189,8.114717,-8.44,-1.453771,-0.745162,0.805067,11.091526,-16.894566,5.000855,-0.921374,0.0,0.0,90.0,0.0,90.0,mouse_left
-0.775416,-3.035661,10.723661,-1.045589,6.292825,-4.522473,-0.364484,1.842953,10.295454,-0.940366,2.54284,3.582443,0.0,0.0,90.0,0.0,90.0,mouse_left
-0.768233,-3.205649,10.987023,0.282656,-2.959084,0.363023,-0.887617,1.124692,11.117862,-4.207542,7.642076,4.880153,0.0,0.0,0.0,0.0,90.0,mouse_left
-0.660494,-3.042843,10.630287,-2.908184,1.544733,-5.148427,-0.324979,1.628672,9.840555,2.876428,8.206963,3.21603,0.0,0.0,0.0,0.0,90.0,mouse_left
-0.425862,-3.200861,10.649441,0.694869,-4.928549,1.46226,-0.651788,1.370098,9.78908,-7.35258,7.031389,5.383969,0.0,0.0,0.0,0.0,90.0,mouse_left
-0.758656,-2.944681,10.565644,0.374259,-5.004885,3.523329,-0.363287,1.993788,10.576773,-7.703725,3.916886,6.758015,0.0,0.0,0.0,0.0,90.0,mouse_left
-0.887943,-2.877644,10.72845,0.191052,0.079084,-2.797282,-0.172948,2.032095,10.451077,-1.169374,3.565741,1.429771,0.0,0.0,0.0,0.0,90.0,mouse_left
-1.057931,-2.913557,10.670989,-0.602841,-2.409465,-1.056824,-0.235197,1.599942,10.770702,-6.314412,5.382535,5.414504,0.0,0.0,0.0,0.0,90.0,mouse_left
