accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z,flex1,flex2,flex3,flex4,flex5,gesture_label
1.604422,-1.34782,10.970076,3.019696,0.566139,1.066074,0.151518,-0.479847,9.280699,3.879359,3.918901,0.785313,0.0,0.0,0.0,90.0,90.0,mouse_right
1.764834,-1.405281,10.845577,4.271604,1.58904,0.714929,0.280805,-0.408021,9.313021,3.253405,1.445618,-3.932244,0.0,0.0,0.0,90.0,90.0,mouse_right
1.987495,-1.371762,11.037113,4.393742,-0.09035,-0.323239,0.043779,-0.806655,9.505754,3.299206,4.636458,-2.527664,0.0,0.0,0.0,90.0,90.0,mouse_right
1.578086,-1.565693,11.130487,5.065497,-2.273556,1.295082,0.102436,-0.35056,9.377665,0.169435,3.262412,-5.458961,0.0,0.0,0.0,90.0,90.0,mouse_right
1.762439,-1.637519,11.470464,5.248703,-0.609434,-1.926292,-0.134589,-0.069242,10.238379,2.932794,7.521954,-6.588733,0.0,0.0,0.0,90.0,90.0,mouse_right
1.333877,-1.67822,11.087392,3.935726,-3.846075,-3.865224,-0.144166,-0.751589,9.927134,4.245771,11.018137,-7.642168,0.0,0.0,90.0,90.0,90.0,mouse_right
1.432039,-1.161072,10.780934,-1.957403,-4.166686,-5.773621,0.419668,0.00019,9.141835,0.657985,16.651726,3.854015,0.0,0.0,0.0,90.0,90.0,mouse_right
1.482318,-1.350214,10.43138,0.164734,-0.441495,-11.94156,0.610007,-0.35894,9.394423,9.635084,11.552488,-7.046748,0.0,0.0,0.0,90.0,90.0,mouse_right
1.815112,-1.275994,10.529543,-1.606258,2.337132,-7.651484,0.498677,-1.109522,8.662995,9.207603,6.972336,-3.947511,0.0,0.0,0.0,90.0,90.0,mouse_right
2.171848,-1.314301,10.565455,-3.285648,6.489803,1.325616,0.168277,-1.491397,8.504977,2.841191,0.804397,6.083023,0.0,0.0,0.0,90.0,90.0,mouse_right
1.609211,-1.450771,10.845577,-4.995571,17.131025,14.272181,-0.051989,-2.514918,7.734045,-10.28858,-14.661253,19.533405,0.0,0.0,0.0,90.0,90.0,mouse_right
1.14713,-2.674208,10.024366,-6.8429,45.772247,47.8447,-0.89834,-5.355639,4.945997,-32.822933,-68.340645,59.044853,0.0,0.0,0.0,90.0,90.0,mouse_right
3.036155,-3.062069,10.01479,-30.705496,83.222633,187.982101,0.977517,-10.331987,4.75446,-106.838196,-215.470413,209.060135,0.0,0.0,90.0,90.0,90.0,mouse_right
6.637034,-0.940806,11.01796,-118.766563,-30.151419,234.730194,2.810279,1.464245,13.322111,-144.258057,-139.836823,233.029587,0.0,0.0,0.0,90.0,90.0,mouse_right
-0.844846,1.4103,13.163164,-64.09481,-32.243023,186.592789,2.622334,0.768729,11.909533,-123.0214,-109.256676,143.166992,0.0,0.0,0.0,90.0,90.0,mouse_right
-1.565501,-0.89771,11.130487,-27.545189,-11.830808,123.814171,2.154267,4.486924,17.6628,-71.174072,-86.187973,98.434166,0.0,0.0,0.0,90.0,90.0,mouse_right
-1.852805,-1.345426,10.278152,-29.285648,-1.830808,55.18821,1.291158,5.214762,14.36718,-13.265679,-30.737589,57.182259,0.0,0.0,0.0,90.0,90.0,mouse_right
-1.26862,-1.702162,8.808112,-13.850533,12.199727,32.913403,0.807529,4.628182,10.153385,3.238138,-24.218504,28.220428,0.0,0.0,0.0,90.0,90.0,mouse_right
-1.136939,-1.903275,8.678825,-1.926869,9.970719,28.745464,0.655497,3.43587,11.6749,-1.403084,-14.478046,25.670809,0.0,0.0,0.0,90.0,90.0,mouse_right
-1.26862,-1.572875,9.543132,2.271604,1.176826,21.661495,0.380164,3.276655,11.192469,-6.105374,-1.271939,18.861649,0.0,0.0,0.0,90.0,90.0,mouse_right
-1.493675,-1.757229,10.1345,6.546413,0.138658,16.546991,-0.084311,1.788659,12.245918,-9.80003,-3.668885,7.579206,0.0,0.0,0.0,90.0,90.0,mouse_right
-1.790556,-1.208957,10.500813,2.1342,-3.00638,8.44012,0.273622,2.524876,12.561953,-6.716061,1.033405,4.266229,0.0,0.0,90.0,90.0,90.0,mouse_right
-1.637327,-1.419646,10.278152,0.363207,-1.311724,1.356151,0.029413,1.685709,11.874817,-0.517587,4.850199,-0.374992,0.0,0.0,0.0,90.0,90.0,mouse_right
-1.043565,-1.522597,10.081827,-0.720762,0.688276,1.295082,-0.048398,2.105891,12.089098,5.970962,11.109741,7.716611,0.0,0.0,0.0,90.0,90.0,mouse_right
-1.493675,-1.175438,9.978876,-2.216945,-4.227754,1.24928,0.205387,2.460233,10.925516,3.803023,14.117374,6.663176,0.0,0.0,90.0,90.0,90.0,mouse_right
