accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z,flex1,flex2,flex3,flex4,flex5,gesture_label
0.471773,-0.436635,10.145412,3.182809,5.94974,-0.88397,3.821402,-1.581677,9.874147,6.004886,-0.410932,4.837131,0.0,0.0,90.0,0.0,0.0,mouse_up
0.481349,-0.683238,9.834166,4.770596,10.881038,-1.845802,3.599938,-1.526611,10.270388,8.356031,-7.815512,3.234077,0.0,0.0,0.0,0.0,0.0,mouse_up
0.483744,-0.510855,9.953876,5.915634,18.087147,-4.273283,3.810627,-1.667868,10.007025,14.127022,-11.433832,4.241711,0.0,0.0,0.0,0.0,0.0,mouse_up
0.60106,-0.491701,9.546862,11.778229,32.148212,-6.838168,3.767532,-1.864193,9.880133,27.409466,-25.571238,7.53942,0.0,0.0,0.0,0.0,0.0,mouse_up
1.19961,-0.697603,9.439122,14.541588,37.552792,-13.067175,4.027303,-1.533793,9.007446,48.127026,-43.662842,-3.300274,0.0,0.0,0.0,0.0,0.0,mouse_up
1.917871,-1.178837,9.257163,18.69426,35.110046,-13.769465,2.711689,-3.45514,10.214124,44.554504,-37.204826,1.783695,0.0,0.0,0.0,0.0,0.0,mouse_up
0.907517,-1.092646,10.104711,22.14464,24.92684,-10.471755,3.739999,0.048774,7.475157,26.554504,-22.441465,-0.170503,0.0,0.0,0.0,0.0,0.0,mouse_up
2.588247,-1.698379,9.740792,24.923267,48.560425,-33.891605,2.323828,-2.849407,10.368549,58.417103,-46.53307,-12.506381,0.0,0.0,0.0,0.0,0.0,mouse_up
2.542757,-0.951388,10.528484,11.198076,-1.836519,-20.334352,1.80309,-5.206499,10.823448,-16.911144,-30.029253,-18.597982,0.0,0.0,0.0,0.0,0.0,mouse_up
1.915476,-0.932235,10.813395,14.678991,18.652031,-18.761833,1.31587,-5.283113,12.701699,-29.414963,12.215023,19.661558,0.0,0.0,0.0,0.0,90.0,mouse_up
