accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z,flex1,flex2,flex3,flex4,flex5,gesture_label
-1.679245,-0.036353,9.470571,35.631203,-9.480091,32.218018,1.543448,0.040027,9.361264,-43.687542,-37.479176,-22.504581,0.0,0.0,0.0,0.0,0.0,swipe_left
-1.645727,-0.096208,9.109046,41.417465,-6.121312,36.599693,1.321985,0.316557,9.479776,-48.634106,-42.654747,-23.512215,0.0,0.0,0.0,0.0,0.0,swipe_left
-1.863599,-0.297321,8.82653,42.119755,-0.106045,40.279083,0.987993,0.057984,9.619838,-48.130291,-55.311237,-23.496944,0.0,0.0,0.0,0.0,0.0,swipe_left
-1.78459,-0.414637,9.171295,40.883114,4.855787,44.721832,0.941306,0.206424,9.617443,-54.313496,-58.089863,-21.374809,0.0,0.0,0.0,0.0,0.0,swipe_left
-1.485315,-0.598991,9.530425,40.547234,6.977924,49.530994,1.028695,0.289024,9.196064,-55.580673,-68.379936,-18.260305,0.0,0.0,0.0,0.0,0.0,swipe_left
-1.092666,-0.891083,9.585492,43.356396,5.405406,53.454659,1.007147,0.98454,10.022064,-57.962353,-68.944817,-16.901527,0.0,0.0,0.0,0.0,0.0,swipe_left
-0.951408,-1.132898,9.803364,46.715172,-0.228182,55.98901,0.673156,1.146148,9.538435,-65.626472,-61.921925,-23.466412,0.0,0.0,0.0,0.0,0.0,swipe_left
-1.23153,-1.372318,9.990112,50.073952,-7.05261,57.790535,0.43613,1.437044,9.237963,-71.061584,-62.456276,-28.321373,0.0,0.0,0.0,0.0,0.0,swipe_left
-1.506863,-1.492028,10.143341,53.493801,-13.37322,61.561527,0.18833,1.319728,8.516111,-85.061584,-65.341766,-37.985497,0.0,0.0,0.0,0.0,0.0,swipe_left
-1.942608,-1.697929,10.275022,56.837311,-16.13658,65.989014,-0.420994,1.514855,8.944674,-89.229523,-78.074593,-39.405342,0.0,0.0,0.0,0.0,0.0,swipe_left
-2.409477,-1.882283,10.203196,60.425098,-14.273984,71.836342,-0.95969,0.548795,9.921507,-93.809677,-76.853218,-37.176334,0.0,0.0,0.0,0.0,0.0,swipe_left
-2.375958,-2.133674,10.229532,60.974716,-7.251083,77.790535,-1.096159,1.034818,8.802217,-101.397461,-81.295967,-34.046566,0.0,0.0,0.0,0.0,0.0,swipe_left
-2.653686,-2.454497,10.286993,58.669373,1.313802,81.301987,-1.209884,1.62858,9.43309,-92.695175,-108.883751,-23.038933,0.0,0.0,0.0,0.0,0.0,swipe_left
-2.352016,-2.478439,10.988494,54.531967,4.611512,86.202751,-1.201504,2.090661,10.717579,-101.137917,-101.463905,-20.397709,0.0,0.0,0.0,0.0,0.0,swipe_left
-2.363987,-2.389854,11.136934,56.119755,4.397772,89.424126,-0.874696,2.680832,8.850101,-108.55777,-106.089859,-27.420609,0.0,0.0,0.0,0.0,0.0,swipe_left
-2.375958,-2.559842,11.005254,61.799145,2.94739,90.813438,-1.542678,2.111012,10.880384,-99.458534,-129.540237,-26.412975,0.0,0.0,0.0,0.0,0.0,swipe_left
-2.524399,-2.839963,10.473741,65.936546,-2.56406,91.378326,-2.621266,1.866803,13.353596,-101.427994,-105.494438,-16.336639,0.0,0.0,0.0,0.0,0.0,swipe_left
-2.727906,-3.074595,10.241503,63.402199,-9.724365,90.72184,-2.873854,2.427046,12.466543,-108.313492,-74.776878,-8.870993,0.0,0.0,0.0,0.0,0.0,swipe_left
-3.142103,-3.208671,9.769845,54.715172,-16.976273,89.530998,-2.638025,3.279382,10.899538,-113.626472,-75.265434,-10.245037,0.0,0.0,0.0,0.0,0.0,swipe_left
-3.661644,-3.053047,10.023631,42.455631,-26.044975,89.653137,-2.821182,2.899901,11.83208,-116.756241,-82.960091,-9.771755,0.0,0.0,0.0,0.0,0.0,swipe_left
-3.793326,-3.065018,10.492894,33.875481,-33.831234,90.095879,-2.719428,3.529576,12.910668,-119.321129,-73.601311,-1.542748,0.0,0.0,0.0,0.0,0.0,swipe_left
-3.702346,-3.024317,10.863996,31.493803,-39.128944,88.569168,-2.683515,3.883918,12.861588,-127.19899,-57.601311,-2.153435,0.0,0.0,0.0,0.0,0.0,swipe_left
-3.517992,-2.978827,11.417056,32.043419,-47.663296,85.805809,-2.111301,5.078625,12.551538,-125.611206,-49.433372,1.205344,0.0,0.0,0.0,0.0,0.0,swipe_left
-4.181186,-3.074595,11.081868,35.799145,-57.663296,82.187485,-1.913779,5.768155,11.541185,-137.580673,-44.914291,-16.596184,0.0,0.0,0.0,0.0,0.0,swipe_left
-5.143655,-3.349928,10.418674,36.516701,-60.319786,76.935577,-2.836744,4.721889,11.271837,-141.458527,-67.204361,-28.626717,0.0,0.0,0.0,0.0,0.0,swipe_left
-6.017539,-3.371476,10.294175,29.142656,-55.067875,72.630234,-3.942865,3.541547,14.554288,-120.939445,-93.982986,-9.542747,0.0,0.0,0.0,0.0,0.0,swipe_left
-5.902617,-3.266131,11.019619,18.760977,-46.426655,68.706566,-3.505923,5.253401,16.838356,-111.977615,-74.349403,6.426718,0.0,0.0,0.0,0.0,0.0,swipe_left
-5.402229,-3.098537,11.792946,13.051053,-41.327419,63.637859,-2.701471,6.535497,15.440142,-109.550133,-44.853222,5.816031,0.0,0.0,0.0,0.0,0.0,swipe_left
-4.801285,-2.89503,12.468111,13.921282,-47.709099,59.042442,-1.833573,7.463249,12.699978,-108.038681,-45.479176,-9.023664,0.0,0.0,0.0,0.0,0.0,swipe_left
-3.96092,-3.733001,12.714714,21.524336,-64.823601,52.859238,-2.009547,7.288473,13.414648,-103.672272,-54.36467,-24.550381,0.0,0.0,0.0,0.0,0.0,swipe_left
-5.948107,-3.507946,11.972511,33.188457,-80.94574,49.103512,-3.337132,6.718653,13.87194,-122.924179,-36.120396,-45.588547,0.0,0.0,0.0,0.0,0.0,swipe_left
-7.817978,-3.776096,10.528808,35.585403,-85.709099,48.492825,-5.056169,3.894692,15.292899,-121.870743,-34.944824,-38.962593,0.0,0.0,0.0,0.0,0.0,swipe_left
-8.287242,-3.632444,10.799352,20.867847,-77.388489,48.523361,-5.008285,4.543521,16.103336,-114.084488,-34.837955,-8.535114,0.0,0.0,0.0,0.0,0.0,swipe_left
-7.901776,-3.002769,11.855195,7.295328,-66.991539,47.240917,-3.05701,6.880261,15.002003,-112.252426,-42.105129,2.151909,0.0,0.0,0.0,0.0,0.0,swipe_left
-7.387022,-2.827992,12.60458,4.135022,-62.258717,43.65313,-2.155593,7.988777,15.577808,-98.664635,-64.28833,-4.260305,0.0,0.0,0.0,0.0,0.0,swipe_left
-7.16915,-2.768137,12.867943,10.318229,-63.312149,38.141682,-2.707457,7.626056,17.491974,-90.847847,-56.059326,-8.947328,0.0,0.0,0.0,0.0,0.0,swipe_left
-7.365475,-2.947703,13.004412,24.364031,-69.128944,32.095879,-3.138413,7.408183,18.444866,-91.473801,-18.425739,-19.206871,0.0,0.0,0.0,0.0,0.0,swipe_left
-8.277665,-3.110508,11.60141,32.425098,-76.564056,28.798168,-3.271291,6.894627,16.412188,-102.511963,18.642962,-23.176334,0.0,0.0,0.0,0.0,0.0,swipe_left
-9.462795,-3.237401,11.048349,22.791512,-68.457191,21.408855,-3.402973,6.943707,17.29924,-72.679901,-16.670015,-12.580915,0.0,0.0,0.0,0.0,0.0,swipe_left
-9.797983,-2.74659,11.350019,8.85258,-49.983906,13.592063,-2.720625,7.654786,18.550209,-61.489067,-18.242535,-12.092366,0.0,0.0,0.0,0.0,0.0,swipe_left
-9.534621,-2.32521,12.180807,-1.42223,-35.174747,5.33252,-1.736608,8.221014,17.25375,-52.038689,-27.173832,-16.077099,0.0,0.0,0.0,0.0,0.0,swipe_left
-9.319143,-2.10255,12.015606,-2.704672,-32.793068,-1.430838,-1.059049,8.611269,16.10573,-53.412731,-37.357037,-22.428246,0.0,0.0,0.0,0.0,0.0,swipe_left
-9.381392,-1.834399,11.536766,0.287694,-38.502991,-7.049159,-1.76893,7.718232,19.331917,-27.992886,-55.143299,-19.084732,0.0,0.0,0.0,0.0,0.0,swipe_left
-9.223375,-2.052271,11.306923,2.913648,-50.838867,-12.346869,-2.231011,8.095319,21.527401,-40.618839,1.25365,-22.229771,0.0,0.0,0.0,0.0,0.0,swipe_left
-9.55138,-1.992416,11.563103,0.684641,-68.182381,-19.125496,-1.997576,7.691895,18.967999,-63.641739,55.421589,-28.748856,0.0,0.0,0.0,0.0,0.0,swipe_left
-9.16352,-2.468862,12.166441,-5.910779,-81.067879,-26.72855,-0.826812,9.175104,16.288887,-69.809677,46.933037,-36.138168,0.0,0.0,0.0,0.0,0.0,swipe_left
-9.520256,-2.555053,12.561484,-12.44513,-92.686195,-38.07206,-0.954901,9.424101,17.50514,-64.298225,22.780367,-48.245037,0.0,0.0,0.0,0.0,0.0,swipe_left
-10.097259,-2.499987,13.195948,-15.468031,-100.151848,-49.171299,-2.341144,8.46642,20.527821,-62.130291,31.788002,-59.603817,0.0,0.0,0.0,0.0,0.0,swipe_left
-9.61363,-1.752996,13.270168,-11.529099,-103.251083,-59.491909,-3.406564,7.095739,22.148695,-58.17609,67.833809,-57.725952,0.0,0.0,0.0,0.0,0.0,swipe_left
