accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z,flex1,flex2,flex3,flex4,flex5,gesture_label
-0.600702,-1.390456,9.785205,-5.833712,18.343544,0.17832,2.468812,0.523453,10.151056,25.816822,17.398382,4.964641,0.0,0.0,90.0,0.0,0.0,swipe_right
-0.210447,-1.435946,9.840272,-7.757376,33.39698,7.399694,2.528667,0.298398,9.837416,24.21377,-0.815358,21.682198,0.0,0.0,90.0,0.0,0.0,swipe_right
-0.296638,-1.163007,9.785205,-10.016918,19.641251,10.498931,2.7214,1.021447,10.48385,10.000029,-3.716122,19.712732,0.0,0.0,90.0,0.0,0.0,swipe_right
-0.284667,-1.158219,9.847454,-7.864246,14.160336,8.193587,2.752525,1.611618,9.978674,4.061098,-11.487114,12.964642,0.0,0.0,0.0,0.0,0.0,swipe_right
-0.560001,-1.438341,9.622399,-2.001651,9.366443,8.330992,2.441279,0.870612,10.518566,0.824457,-11.914596,7.972275,0.0,0.0,90.0,0.0,0.0,swipe_right
-0.299033,-1.064845,10.173065,-8.322262,5.0611,8.529466,2.501134,1.044192,10.742424,0.351174,-12.204672,8.735634,0.0,0.0,0.0,0.0,0.0,swipe_right
-0.148198,-1.412004,9.608034,0.853311,-3.412183,3.674504,2.332343,1.210589,10.180984,-5.328215,-1.578717,2.53716,0.0,0.0,0.0,0.0,0.0,swipe_right
-0.694076,-1.265958,9.457199,3.250257,-23.59539,7.598168,2.292838,1.937229,8.360193,-26.549589,-9.929862,0.109679,0.0,0.0,90.0,0.0,0.0,swipe_right
-1.048418,-1.371303,8.76288,20.059418,-26.954166,1.903511,2.711824,3.839422,10.333015,-33.908367,-14.662686,-0.97429,0.0,0.0,90.0,0.0,0.0,swipe_right
-1.374029,-2.33856,8.245733,42.883846,-75.381645,-8.859848,2.671122,5.666198,9.238866,-75.312943,0.375481,-27.56971,0.0,0.0,0.0,0.0,0.0,swipe_right
-2.336498,-3.353702,8.482759,65.967812,-175.183182,-14.722443,3.145174,6.130673,10.916004,-150.106842,55.71899,-57.462841,0.0,0.0,0.0,0.0,0.0,swipe_right
-5.075465,-3.9738,10.048567,65.983078,-224.770966,-30.340763,2.36227,5.665001,12.509345,-145.832031,121.154106,-91.355972,0.0,0.0,0.0,0.0,0.0,swipe_right
-4.70197,-4.471794,10.642329,37.662472,-179.671738,-62.020153,2.54423,5.447129,13.444281,-105.954163,119.276245,-117.096428,0.0,0.0,0.0,0.0,0.0,swipe_right
-5.317279,-4.735157,11.760421,8.868578,-222.740433,-65.5774,2.570566,5.096378,14.678492,-119.862564,137.337326,-148.180389,0.0,0.0,0.0,0.0,0.0,swipe_right
-7.450513,-3.832542,12.241655,-33.711575,-221.320587,-61.210995,2.335934,2.813507,13.965019,-129.541962,123.871666,-140.470474,0.0,0.0,90.0,0.0,0.0,swipe_right
-5.53994,-3.052032,13.687754,-51.055084,-206.160278,-41.01252,2.786044,6.401218,14.644973,-145.129745,110.894562,-112.165131,0.0,0.0,0.0,0.0,0.0,swipe_right
-8.274118,-2.762334,13.745214,-36.474934,-229.549591,-23.867481,2.224604,4.241648,14.725179,-167.7099,114.604485,-115.340706,0.0,0.0,0.0,0.0,0.0,swipe_right
-9.883022,-1.69452,15.488194,-38.047451,-197.671738,7.140152,1.410575,3.54733,15.54639,-156.870209,79.199905,-77.813988,0.0,0.0,90.0,0.0,0.0,swipe_right
-10.639589,-1.921969,15.667759,2.380029,-107.473251,19.109617,0.819207,5.243622,16.463369,-104.992332,9.093039,-49.340702,0.0,0.0,0.0,0.0,0.0,swipe_right
-11.479955,-1.009778,15.679729,33.097588,-88.404549,43.353893,1.430926,7.121873,17.27261,-102.824394,-38.571083,-31.99719,0.0,0.0,0.0,0.0,0.0,swipe_right
-13.510238,-0.392074,16.148993,81.937279,-40.480885,38.590534,1.864276,7.885623,16.277819,-68.549583,-115.731392,-61.462841,0.0,0.0,90.0,0.0,0.0,swipe_right
-15.43757,-0.334614,15.945486,152.16629,58.236671,54.895878,4.002298,7.018922,16.858412,-2.091574,-275.868774,-58.2262,0.0,0.0,90.0,0.0,0.0,swipe_right
-11.755288,0.606308,15.131457,166.975449,151.595444,99.247025,8.301087,13.910631,15.132193,35.374073,-400.952759,-60.409405,0.0,0.0,90.0,0.0,0.0,swipe_right
-11.04421,-0.696138,14.729231,213.280792,17.106899,87.338631,7.953928,10.140961,19.276556,-45.328217,-390.006195,-134.363602,0.0,0.0,90.0,0.0,0.0,swipe_right
-13.620371,1.219223,18.545589,213.784607,38.832092,77.827179,8.722467,9.76148,19.594984,-16.76333,-390.036713,-137.447571,0.0,0.0,90.0,0.0,0.0,swipe_right
-11.094488,-0.111953,16.790638,232.395294,162.587814,55.002747,9.322214,6.449102,29.06525,83.313011,-344.433685,-174.149857,0.0,0.0,90.0,0.0,0.0,swipe_right
-15.91641,1.051629,19.486509,202.944916,96.465683,70.208855,6.591628,5.576416,21.169172,46.396976,-325.288635,-116.149864,0.0,0.0,90.0,0.0,0.0,swipe_right
-9.550228,-0.401651,15.825775,220.486908,176.511475,89.323364,6.83823,8.372843,25.76963,106.625984,-296.677948,-133.508636,0.0,0.0,90.0,0.0,0.0,swipe_right
-12.581287,-0.7943,17.082731,170.410568,95.427513,70.437866,5.180245,4.447549,26.759632,55.175602,-226.723755,-95.584976,0.0,0.0,90.0,0.0,0.0,swipe_right
-10.790424,-2.084775,16.002947,134.151031,75.702324,70.727943,2.165946,5.757178,27.027782,52.534378,-153.258102,-57.096428,0.0,0.0,90.0,0.0,0.0,swipe_right
-10.187086,-2.156601,14.937527,99.357124,61.137436,59.598167,-0.168401,5.447129,23.698647,41.877892,-114.250473,-40.699482,0.0,0.0,90.0,0.0,0.0,swipe_right
-11.381792,-2.757546,13.635081,52.013618,-5.091572,39.995113,-0.508378,6.404809,26.496271,-5.740429,-69.82299,4.53716,0.0,0.0,90.0,0.0,0.0,swipe_right
-11.369822,-1.31863,15.648605,31.173923,0.480947,22.773741,0.37628,6.882453,25.080101,3.068731,-27.059633,-0.272,0.0,0.0,90.0,0.0,0.0,swipe_right
-11.915699,-1.239622,16.108292,2.410563,-17.228977,7.659236,0.901807,5.213694,26.805122,-0.457986,39.71899,23.865404,0.0,0.0,90.0,0.0,0.0,swipe_right
-12.353838,-0.174202,16.965416,-24.597071,-3.992336,-4.081222,1.538665,6.87527,24.947224,24.580181,72.925102,23.697466,0.0,0.0,90.0,0.0,0.0,swipe_right
-11.360245,-1.560445,14.884854,-35.925316,13.702321,-38.722443,1.581761,7.349322,25.912086,39.267204,155.123581,15.13258,0.0,0.0,90.0,0.0,0.0,swipe_right
-12.665084,-0.985836,15.277504,-60.322262,22.67942,-62.462902,2.108485,6.53649,25.114817,81.43515,229.474731,15.682199,0.0,0.0,0.0,0.0,0.0,swipe_right
-10.244547,-1.464677,13.812252,-58.306995,77.183235,-97.073586,2.210238,8.008924,19.736242,118.961868,281.657928,16.384489,0.0,0.0,90.0,0.0,0.0,swipe_right
-10.321161,-0.969077,13.38369,-85.497841,45.274841,-125.821678,3.074545,6.538885,21.713854,124.335907,230.833496,-26.119328,0.0,0.0,90.0,0.0,0.0,swipe_right
-8.293272,-2.151813,11.130746,-81.955856,86.664154,-161.959091,4.087293,6.306647,17.351618,197.114532,310.009064,-25.981924,0.0,0.0,90.0,0.0,0.0,swipe_right
-7.891046,-0.574034,12.5122,-90.597076,94.557281,-188.188095,3.294812,4.332628,8.423639,203.526749,177.093048,-79.56971,0.0,0.0,90.0,0.0,0.0,swipe_right
-4.534376,-2.865285,10.412486,-54.749741,127.412239,-176.661377,2.310795,2.092852,15.713984,212.977127,140.085419,-77.554443,0.0,0.0,90.0,0.0,0.0,swipe_right
-3.227141,-2.544462,10.704578,-50.123787,96.801559,-141.730087,2.130033,-1.557108,5.981554,161.084,138.619766,-63.218563,0.0,0.0,0.0,0.0,0.0,swipe_right
-1.374029,-2.815006,10.718944,-36.856613,44.343544,-88.752975,1.2765,0.539015,9.444767,64.320641,70.253342,-24.409405,0.0,0.0,90.0,0.0,0.0,swipe_right
-2.372411,-2.214062,9.962376,-34.856613,36.145069,-90.081215,2.09412,0.637178,10.052894,71.72522,44.696091,-52.730015,0.0,0.0,90.0,0.0,0.0,swipe_right
-1.074754,-3.497354,9.00709,-21.894779,66.190872,-78.798775,1.051445,-0.325291,10.336607,92.213776,51.45945,-25.89032,0.0,0.0,90.0,0.0,0.0,swipe_right
-0.3541,-2.147024,9.847454,-20.459665,29.396976,-54.722443,2.274882,0.914905,7.091267,40.534378,25.398382,-25.065893,0.0,0.0,90.0,0.0,0.0,swipe_right
