accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z,flex1,flex2,flex3,flex4,flex5,gesture_label
-0.523775,-2.132463,10.062815,-1.088978,2.715084,0.109649,1.97996,-0.078648,12.273857,-1.924365,0.200153,1.004916,0.0,0.0,90.0,0.0,0.0,thumb_down
-0.574053,-2.144434,10.026901,-0.279818,3.447908,-0.195694,2.024252,-0.08583,12.242733,-1.9549,-1.479236,0.485832,0.0,0.0,90.0,0.0,0.0,thumb_down
-0.540534,-2.223443,10.017324,0.65148,4.455542,-0.378901,2.096078,-0.082239,12.071548,-4.687724,-1.128091,-0.399664,0.0,0.0,90.0,0.0,0.0,thumb_down
-0.41843,-2.223443,10.170553,1.475908,5.432641,-0.348366,1.8806,-0.103787,12.239141,-11.557953,1.665802,-1.727908,0.0,0.0,90.0,0.0,0.0,thumb_down
-0.262807,-2.206683,10.093939,1.720182,4.89829,-0.363633,1.841095,-0.0571,12.49173,-8.596121,0.10855,-1.758442,0.0,0.0,90.0,0.0,0.0,thumb_down
-0.291537,-2.283298,10.034084,0.819419,3.463176,-1.065923,1.847082,-0.058297,12.484548,-0.229709,-4.59374,0.562168,0.0,0.0,90.0,0.0,0.0,thumb_down
-0.392094,-2.053454,10.103516,-0.234016,1.783786,-1.46287,1.996719,-0.058297,12.16971,1.678688,-4.776947,1.294993,0.0,0.0,90.0,0.0,0.0,thumb_down
-0.516592,-1.991205,10.084362,0.453007,1.279969,-1.020122,2.264869,-0.114561,11.720797,-6.397648,2.597099,-1.926381,0.0,0.0,90.0,0.0,0.0,thumb_down
-0.540534,-1.991205,10.024508,2.315602,2.516611,-0.043023,2.232548,-0.127729,11.947049,-31.680092,12.230687,-9.163023,0.0,0.0,90.0,0.0,0.0,thumb_down
-0.329844,-1.969657,10.067603,4.483541,4.440275,0.796672,2.056574,-0.045129,12.652142,-25.237343,5.986413,-14.674473,0.0,0.0,90.0,0.0,0.0,thumb_down
-0.444766,-2.14204,9.974229,6.178197,5.402107,-0.516305,2.163116,0.090144,12.39716,-8.015968,-6.532671,-16.537067,0.0,0.0,90.0,0.0,0.0,thumb_down
-0.428007,-2.295269,10.034084,6.514075,5.631114,-1.814015,2.0458,0.024303,12.391173,-4.947266,-11.067023,-16.903481,0.0,0.0,90.0,0.0,0.0,thumb_down
-0.435189,-2.347941,10.036478,6.391937,5.142565,-2.226229,2.313951,-0.982459,13.318927,-2.916732,-9.112824,-10.048519,0.0,0.0,90.0,0.0,0.0,thumb_down
-0.174221,-2.151617,9.95747,6.529343,5.325771,-1.188061,2.218183,1.68947,11.111473,-25.84803,31.604734,20.730106,0.0,0.0,90.0,0.0,0.0,thumb_down
-0.011416,-2.431738,10.067603,7.2469,5.127298,-0.27203,2.35106,0.57497,12.801779,-38.50452,36.337555,-4.277526,0.0,0.0,90.0,0.0,0.0,thumb_down
-0.226894,-2.419767,9.670165,9.536976,3.096763,2.506596,2.324725,0.433712,13.151333,-48.092304,45.009312,-14.445465,0.0,0.0,90.0,0.0,0.0,thumb_down
-0.37294,-2.431738,9.658195,9.414839,5.00516,5.269955,1.842293,0.474413,12.521658,-61.328945,69.11618,-17.514168,0.0,0.0,90.0,0.0,0.0,thumb_down
-0.334633,-2.18753,9.68453,8.972091,8.470809,7.117283,1.80638,-0.364755,12.571936,-54.077038,51.146717,-17.743176,0.0,0.0,0.0,0.0,0.0,thumb_down
-0.662639,-2.256961,9.610311,7.857587,12.959359,6.43026,2.066151,-0.06548,12.191257,-35.832764,30.230688,-4.20119,0.0,0.0,0.0,0.0,0.0,thumb_down
-0.406459,-2.182741,9.765933,6.773617,14.638748,4.53713,2.294797,-0.322856,12.039227,2.213039,-20.196793,9.661405,0.0,0.0,0.0,0.0,0.0,thumb_down
-0.269989,-2.589755,9.411592,5.750716,14.562412,0.979878,2.315148,0.029091,14.241892,17.358078,-38.044125,22.180489,0.0,0.0,0.0,0.0,0.0,thumb_down
-0.238865,-2.671158,9.08598,1.491174,12.867756,-3.890351,1.635194,0.373856,15.077468,3.648154,-3.952519,31.432398,0.0,0.0,0.0,0.0,0.0,thumb_down
-0.49265,-2.632851,9.026125,-3.394321,12.318137,-9.46287,1.687867,-0.939363,14.580671,6.579452,12.70397,41.279724,0.0,0.0,0.0,0.0,0.0,thumb_down
-0.806291,-2.572996,8.96627,-5.867604,14.776154,-13.539206,2.825113,0.223022,13.447017,11.159604,19.864275,62.287361,0.0,0.0,0.0,0.0,0.0,thumb_down
-0.861357,-2.525112,8.956694,-7.470657,21.570045,-15.890351,3.951584,1.213024,12.367231,8.304643,16.062748,57.920944,0.0,0.0,0.0,0.0,0.0,thumb_down
-0.858963,-2.544266,9.059644,-5.94394,32.974625,-16.775848,4.414862,0.861077,11.632212,12.533649,-4.883817,48.852242,0.0,0.0,0.0,0.0,0.0,thumb_down
-0.44716,-2.628063,9.02852,-1.882871,45.661648,-16.913252,4.055732,0.261329,11.77347,20.029835,-30.456335,47.188126,0.0,0.0,0.0,0.0,0.0,thumb_down
0.026891,-2.78608,8.896838,2.086594,57.905922,-16.699512,3.955176,-1.827612,12.970571,27.602352,-40.059391,51.081253,0.0,0.0,0.0,0.0,0.0,thumb_down
1.178503,-2.71186,8.791493,7.369037,66.730347,-18.424704,2.353455,-5.414126,14.949378,26.838993,-13.433435,111.859879,0.0,0.0,0.0,0.0,0.0,thumb_down
1.57594,-2.762138,8.90881,11.857587,64.150192,-22.882717,2.857435,-2.633261,14.464552,28.548916,20.795574,175.172852,0.0,0.0,0.0,0.0,0.0,thumb_down
1.563969,-2.977616,9.157806,14.086595,54.440273,-28.180428,4.650692,0.322381,13.724744,36.686321,34.230686,169.065979,0.0,0.0,0.0,0.0,0.0,thumb_down
1.144984,-3.135633,9.787481,15.140029,48.379208,-31.707146,4.578866,0.005149,13.139361,31.587086,53.726868,141.615601,0.0,0.0,0.0,0.0,0.0,thumb_down
