gyro_x,gyro_y,gyro_z,label
-2.66,-0.4,0.66,backward
-2.6,-0.7,0.6,backward
-2.59,0.38,0.56,backward
-2.61,3.63,0.68,backward
-2.57,19.14,-3.24,backward
-2.55,29.53,-0.52,backward
-2.58,26.1,-0.69,backward
-2.92,31.67,1.04,backward
-4.08,34.05,5.07,backward
-4.32,33.33,5.21,backward
-5.22,38.8,7.1,backward
-2.71,43.89,0.43,backward
-3.49,36.98,1.5,backward
-4.39,13.71,3.5,backward
2.79,6.26,-6.15,backward
0.78,20.33,-4.82,backward
-1.05,25.48,-1.89,backward
-3.42,25.47,1.56,backward
-4.98,23.01,3.11,backward
-2.94,23.4,0.56,backward
-6.27,19.21,4.24,backward
-8.36,11.3,5.98,backward
0.6,5.58,-2.26,backward
-1.91,1.15,-0.03,backward
1.69,-0.27,-3.21,backward
-0.49,1.64,-1.08,backward
-2.76,0.44,0.76,backward
-2.54,-0.61,0.66,backward
-0.35,-3.16,-1.11,backward
-2.73,-1.38,0.69,backward
-2.54,0.6,0.6,backward
-2.56,0.56,0.51,backward
-2.6,0.34,0.57,backward
-2.63,0.94,0.68,backward
-2.63,-2.93,0.76,backward
-0.05,-15.98,-1.53,backward
-2.01,-33.0,0.08,backward
-1.98,-56.36,0.38,backward
-5.44,-72.13,3.22,backward
-4.56,-60.53,6.96,backward
-5.46,-27.26,6.05,backward
-3.1,-15.04,2.21,backward
-2.5,-21.41,0.83,backward
-3.21,-29.07,1.88,backward
-2.76,-21.4,1.73,backward
-3.06,-20.24,2.66,backward
-3.0,-23.82,2.44,backward
-2.75,-19.98,1.88,backward
-2.44,-17.44,0.79,backward
-3.27,-17.35,7.5,backward
-3.19,-18.04,8.99,backward
-2.6,-2.56,0.43,backward
-2.68,-0.79,0.63,forward
-2.49,-1.02,0.66,forward
-2.55,-0.82,0.51,forward
-2.55,-1.08,0.65,forward
-2.53,-7.25,0.71,forward
-2.18,-13.72,1.17,forward
-2.34,-7.57,0.98,forward
-2.18,-18.89,0.37,forward
-2.12,-15.14,0.18,forward
-2.37,-13.85,0.98,forward
-2.19,-20.6,1.0,forward
-2.24,-14.71,1.44,forward
-2.25,-18.38,1.57,forward
-2.41,-9.21,1.15,forward
-2.32,-10.39,1.16,forward
-2.37,-13.95,1.54,forward
-2.25,-15.92,3.2,forward
-2.39,-8.02,3.05,forward
-2.47,-8.73,2.87,forward
-2.51,-10.01,4.14,forward
-2.43,-17.98,6.33,forward
-2.69,-17.5,4.97,forward
-2.73,-15.63,7.02,forward
-2.91,-12.75,2.87,forward
